number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:31:17,[],[]
2,11,08:45:00,08:47:00,['35'],[]
3,4,08:57:48,08:59:48,"['63', '36', '31']",['35']
4,10,09:05:43,09:07:43,[],"['63', '31']"
5,9,09:13:38,09:16:12,[],['36']
6,11,09:20:00,09:22:00,['68'],[]
7,10,09:27:32,09:29:32,['60'],[]
8,9,09:35:27,09:37:27,[],['68']
9,8,09:48:13,09:50:13,['32'],['60']
10,9,10:00:59,10:04:10,['48'],[]
11,12,10:10:00,10:12:00,['44'],"['48', '32']"
12,14,10:18:43,10:22:00,['26'],[]
13,0,10:29:56,10:33:10,"['19', '22']","['44', '26']"
14,13,10:44:19,10:46:19,[],['19']
15,9,10:58:19,11:00:19,[],['22']
16,10,11:06:14,11:47:00,['29'],[]
17,4,11:52:55,12:04:40,['25'],['29']
18,10,12:10:35,12:12:35,[],['25']
19,4,12:18:30,12:20:30,['18'],[]
20,12,12:36:16,12:38:16,[],['18']
21,11,12:43:14,13:12:00,['16'],[]
22,10,13:17:32,13:19:32,[],['16']
23,4,13:25:27,13:27:27,['27'],[]
24,10,13:33:22,13:35:22,[],['27']
25,12,13:45:41,13:48:09,['42'],[]
26,0,14:02:00,14:04:00,[],['42']
27,4,14:30:00,14:32:00,['9'],[]
28,12,14:47:46,14:52:00,['12'],[]
29,13,14:58:43,15:00:43,[],['9']
30,0,15:11:52,16:12:30,"['51', '24']",['12']
31,13,16:23:39,16:31:45,['0'],"['51', '24']"
32,14,16:35:27,16:37:27,[],['0']
33,9,16:50:00,16:52:00,['10'],[]
34,12,16:57:50,17:13:50,[],['10']
35,8,17:30:21,19:00:00,[],[]
