number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,07:58:05,[],[]
2,14,08:05:00,08:07:00,['26'],[]
3,12,08:10:38,08:12:38,[],['26']
4,11,08:16:29,08:18:29,['8'],[]
5,10,08:22:20,08:24:20,[],['8']
6,8,08:26:54,08:31:09,['35'],[]
7,9,08:32:26,08:34:26,['29'],['35']
8,12,08:40:52,08:42:52,['21'],[]
9,13,08:45:26,08:47:26,['39'],[]
10,14,08:50:00,08:52:00,['27'],[]
11,15,08:54:34,08:56:34,['14'],[]
12,6,09:01:12,09:03:31,"['40', '38']","['14', '27', '21', '29', '39']"
13,14,09:10:26,09:12:26,[],['38']
14,11,09:19:21,09:21:21,[],['40']
15,8,09:25:59,09:37:00,['33'],[]
16,6,09:49:40,09:51:40,['2'],['33']
17,12,10:02:02,10:07:00,['32'],[]
18,11,10:10:51,10:17:00,['43'],[]
19,10,10:20:51,10:22:51,[],"['43', '32', '2']"
20,9,10:24:08,10:26:08,['36'],[]
21,12,10:32:34,10:34:34,['41'],[]
22,13,10:37:08,10:39:08,['13'],[]
23,14,10:41:42,10:43:42,[],['13']
24,6,10:50:37,10:52:45,['15'],"['41', '36']"
25,0,11:10:00,11:12:00,['45'],['15']
26,8,11:25:25,11:45:25,[],['45']
27,6,11:58:05,19:00:00,[],[]
