user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[130],"[18, 19]",2.0,2.77,4.77,1
1,[121],"[2, 1]",2.0,5.53,7.53,1
2,[130],"[15, 16]",2.0,3.7,5.7,1
3,"[20, 14]","[0, 13, 23]",5.9,17.82,21.8,2
4,"[130, 121]","[15, 0, 1]",4.0,8.97,12.97,2
5,"[20, 110]","[11, 4, 5]",4.0,14.5,18.5,2
6,"[130, 21]","[15, 0, 4]",26.0,28.77,32.77,2
7,"[110, 120]","[6, 8, 12]",4.0,23.72,27.73,2
8,"[30, 114, 20]","[18, 21, 13, 8]",12.4,58.35,45.8,2
9,"[114, 30]","[22, 21, 17]",14.6,18.47,22.45,2
10,"[114, 120, 121]","[22, 13, 0, 1]",29.0,27.67,33.67,3
11,"[14, 120]","[22, 13, 10]",8.1,27.33,31.33,2
12,"[30, 20, 14]","[15, 0, 13, 25]",6.0,16.85,22.83,3
13,"[120, 110]","[12, 4, 5]",12.4,19.47,23.47,2
14,"[10, 120]","[7, 8, 13]",27.0,27.32,31.32,2
15,"[21, 120]","[2, 4, 9]",13.1,26.58,30.58,2
16,[120],"[10, 12]",4.0,21.68,12.32,1
17,[120],"[13, 11]",2.0,11.68,13.68,1
18,"[30, 120, 10]","[19, 0, 8, 7]",31.6,49.95,55.5,4
19,"[14, 20, 21, 110]","[23, 13, 0, 4, 6]",8.0,52.52,41.8,3
20,[130],"[16, 15]",2.0,3.7,5.7,1
21,"[121, 20, 14]","[3, 0, 13, 21]",23.3,41.72,41.02,2
22,"[21, 110]","[1, 4, 5]",15.4,24.0,28.0,2
23,"[14, 20, 110]","[23, 13, 8, 5]",21.1,41.72,38.83,3
24,"[14, 120, 21]","[24, 13, 0, 2]",24.3,29.6,35.6,3
25,"[14, 20, 30]","[25, 13, 0, 16]",24.0,20.53,26.53,3
26,"[121, 30]","[3, 0, 17]",24.4,25.35,29.37,2
27,"[30, 20, 10]","[16, 0, 8, 6]",23.9,45.87,47.17,3
28,[120],"[13, 4]",4.0,22.48,24.48,1
29,"[21, 130]","[2, 0, 21]",11.0,32.22,35.58,2
30,[120],"[9, 12]",2.0,5.83,7.83,1
31,"[110, 120, 114]","[5, 4, 13, 22]",31.0,36.5,42.5,3
32,"[20, 14]","[12, 13, 23]",9.1,13.38,17.37,2
33,"[30, 120]","[19, 0, 10]",21.4,36.25,40.27,2
34,"[30, 120]","[18, 0, 8]",27.6,41.8,45.8,2
35,"[121, 20, 14]","[3, 0, 13, 23]",23.6,35.08,40.65,3
36,"[20, 121]","[13, 0, 2]",4.0,22.57,26.57,2
37,[21],"[4, 2]",4.0,14.77,16.77,1
38,[20],"[4, 12]",2.0,15.77,17.77,1
39,"[20, 110]","[13, 8, 6]",6.4,29.15,33.15,2
40,[21],"[0, 3]",6.0,17.27,18.85,1
41,[10],"[7, 4]",6.4,11.48,13.15,1
42,[21],"[3, 2]",2.0,5.53,7.53,1
43,[120],"[12, 0]",2.0,13.85,15.85,1
44,"[120, 110]","[13, 4, 5]",25.7,26.18,30.18,2
45,[20],"[14, 9]",2.0,12.55,14.55,1
46,"[120, 121]","[12, 0, 1]",4.0,20.03,24.05,2
47,"[21, 30]","[3, 0, 16]",24.4,23.3,27.32,2
48,"[14, 20, 30]","[25, 13, 0, 16]",21.4,20.53,26.53,3
49,"[110, 20, 30]","[7, 8, 0, 19]",28.1,53.45,55.5,4
